Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [Á],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
35161,1/10/2017 12:31,53.001,JB2_Spot (PSt7-10),1/10/2017 9:36,default,228.326,_mol/L,23.494,ÁC,1016,hPa,Humid,37,0,0,19.797,13565,319751.88,43.75,60,#N/A
35165,1/10/2017 12:31,53.018,JB2_Spot (PSt7-10),1/10/2017 9:36,default,228.472,_mol/L,23.509,ÁC,1016,hPa,Humid,37,0,0,19.785,13558,319754.72,43.75,60,#N/A
35169,1/10/2017 12:31,53.035,JB2_Spot (PSt7-10),1/10/2017 9:36,default,228.769,_mol/L,23.511,ÁC,1016,hPa,Humid,37,0,0,19.77,13538,319750.91,43.75,60,#N/A
35172,1/10/2017 12:31,53.051,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.909,_mol/L,23.501,ÁC,1016,hPa,Humid,37,0,0,19.815,13525,319754.66,43.75,60,#N/A
35176,1/10/2017 12:31,53.068,JB2_Spot (PSt7-10),1/10/2017 9:36,default,228.315,_mol/L,23.498,ÁC,1016,hPa,Humid,37,0,0,19.796,13519,319737.14,43.75,60,#N/A
35180,1/10/2017 12:31,53.084,JB2_Spot (PSt7-10),1/10/2017 9:36,default,228.838,_mol/L,23.497,ÁC,1016,hPa,Humid,37,0,0,19.771,13511,319782.49,43.75,60,#N/A
35185,1/10/2017 12:31,53.101,JB2_Spot (PSt7-10),1/10/2017 9:36,default,229.89,_mol/L,23.391,ÁC,1016,hPa,Humid,37,0,0,19.755,13225,319776.03,43.75,60,#N/A
35189,1/10/2017 12:31,53.118,JB2_Spot (PSt7-10),1/10/2017 9:36,default,229.406,_mol/L,23.355,ÁC,1016,hPa,Humid,37,0,0,19.79,13639,319765.92,43.75,60,#N/A
35193,1/10/2017 12:31,53.135,JB2_Spot (PSt7-10),1/10/2017 9:36,default,229.346,_mol/L,23.342,ÁC,1016,hPa,Humid,37,0,0,19.797,13660,319760.6,43.75,60,#N/A
35197,1/10/2017 12:31,53.152,JB2_Spot (PSt7-10),1/10/2017 9:36,default,230.25,_mol/L,23.301,ÁC,1016,hPa,Humid,37,0,0,19.767,13484,319747.05,43.75,60,#N/A
35201,1/10/2017 12:31,53.168,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.088,_mol/L,23.291,ÁC,1016,hPa,Humid,37,0,0,19.73,13257,319750.96,43.75,60,#N/A
35204,1/10/2017 12:31,53.184,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.084,_mol/L,23.301,ÁC,1016,hPa,Humid,37,0,0,19.727,13160,319735.76,43.75,60,#N/A
35209,1/10/2017 12:31,53.201,JB2_Spot (PSt7-10),1/10/2017 9:36,default,230.847,_mol/L,23.292,ÁC,1016,hPa,Humid,37,0,0,19.741,13242,319749.76,43.75,60,#N/A
35213,1/10/2017 12:31,53.218,JB2_Spot (PSt7-10),1/10/2017 9:36,default,232.018,_mol/L,23.296,ÁC,1016,hPa,Humid,37,0,0,19.684,13089,319740.5,43.75,60,#N/A
35216,1/10/2017 12:31,53.235,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.693,_mol/L,23.294,ÁC,1016,hPa,Humid,37,0,0,19.7,13124,319727.67,43.75,60,#N/A
35221,1/10/2017 12:31,53.252,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.573,_mol/L,23.278,ÁC,1016,hPa,Humid,37,0,0,19.711,13066,319730.07,43.75,60,#N/A
35224,1/10/2017 12:31,53.268,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.765,_mol/L,23.296,ÁC,1016,hPa,Humid,37,0,0,19.696,13069,319713.12,43.75,60,#N/A
35229,1/10/2017 12:31,53.284,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.76,_mol/L,23.288,ÁC,1016,hPa,Humid,37,0,0,19.699,13059,319711.17,43.75,60,#N/A
35233,1/10/2017 12:31,53.301,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.539,_mol/L,23.289,ÁC,1016,hPa,Humid,37,0,0,19.709,13061,319705.11,43.75,60,#N/A
35237,1/10/2017 12:32,53.318,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.498,_mol/L,23.292,ÁC,1016,hPa,Humid,37,0,0,19.71,13064,319708.37,43.75,60,#N/A
35241,1/10/2017 12:32,53.335,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.618,_mol/L,23.281,ÁC,1016,hPa,Humid,37,0,0,19.708,13056,319703.54,43.75,60,#N/A
35244,1/10/2017 12:32,53.351,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.476,_mol/L,23.28,ÁC,1016,hPa,Humid,37,0,0,19.715,13030,319696.33,43.75,60,#N/A
35249,1/10/2017 12:32,53.368,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.987,_mol/L,23.282,ÁC,1016,hPa,Humid,37,0,0,19.69,13023,319687.41,43.75,60,#N/A
35252,1/10/2017 12:32,53.384,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.484,_mol/L,23.282,ÁC,1016,hPa,Humid,37,0,0,19.714,13091,319696.8,43.75,60,#N/A
35256,1/10/2017 12:32,53.401,JB2_Spot (PSt7-10),1/10/2017 9:36,default,230.993,_mol/L,23.302,ÁC,1016,hPa,Humid,37,0,0,19.731,13076,319692.38,43.75,60,#N/A
35261,1/10/2017 12:32,53.418,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.407,_mol/L,23.302,ÁC,1016,hPa,Humid,37,0,0,19.711,13062,319693.95,43.75,60,#N/A
35263,1/10/2017 12:32,53.435,JB2_Spot (PSt7-10),1/10/2017 9:36,default,231.151,_mol/L,23.303,ÁC,1016,hPa,Humid,37,0,0,19.723,13193,319686.56,43.75,60,#N/A
35266,1/10/2017 12:32,53.451,JB2_Spot (PSt7-10),1/10/2017 9:36,default,223.471,_mol/L,23.283,ÁC,1016,hPa,Humid,37,0,0,20.105,16528,319692.17,43.75,60,#N/A
35270,1/10/2017 12:32,53.468,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.142,_mol/L,23.296,ÁC,1016,hPa,Humid,37,0,0,19.919,14750,319670.02,43.75,60,#N/A
35274,1/10/2017 12:32,53.485,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.006,_mol/L,23.311,ÁC,1016,hPa,Humid,37,0,0,19.921,14638,319678.46,43.75,60,#N/A
35279,1/10/2017 12:32,53.501,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.163,_mol/L,23.302,ÁC,1016,hPa,Humid,37,0,0,19.916,14599,319675.13,43.75,60,#N/A
35285,1/10/2017 12:32,53.517,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.51,_mol/L,23.287,ÁC,1016,hPa,Humid,37,0,0,19.904,14574,319680.98,43.75,60,#N/A
35286,1/10/2017 12:32,53.534,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.187,_mol/L,23.293,ÁC,1016,hPa,Humid,37,0,0,19.918,14559,319670.69,43.75,60,#N/A
35290,1/10/2017 12:32,53.551,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.09,_mol/L,23.292,ÁC,1016,hPa,Humid,37,0,0,19.923,14538,319676.65,43.75,60,#N/A
35295,1/10/2017 12:32,53.568,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.408,_mol/L,23.287,ÁC,1016,hPa,Humid,37,0,0,19.909,14537,319655.38,43.75,60,#N/A
35300,1/10/2017 12:32,53.585,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.138,_mol/L,23.303,ÁC,1016,hPa,Humid,37,0,0,19.917,14519,319665.1,43.75,60,#N/A
35305,1/10/2017 12:32,53.602,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.326,_mol/L,23.296,ÁC,1016,hPa,Humid,37,0,0,19.91,14517,319675.57,43.75,60,#N/A
35308,1/10/2017 12:32,53.617,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.557,_mol/L,23.302,ÁC,1016,hPa,Humid,37,0,0,19.897,14500,319674.26,43.75,60,#N/A
35310,1/10/2017 12:32,53.634,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.585,_mol/L,23.291,ÁC,1016,hPa,Humid,37,0,0,19.899,14497,319660.35,43.75,60,#N/A
35314,1/10/2017 12:32,53.651,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.307,_mol/L,23.293,ÁC,1016,hPa,Humid,37,0,0,19.912,14486,319659.9,43.75,60,#N/A
35320,1/10/2017 12:32,53.668,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.323,_mol/L,23.294,ÁC,1016,hPa,Humid,37,0,0,19.911,14485,319667.61,43.75,60,#N/A
35323,1/10/2017 12:32,53.685,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.139,_mol/L,23.288,ÁC,1016,hPa,Humid,37,0,0,19.922,14483,319646.75,43.75,60,#N/A
35328,1/10/2017 12:32,53.702,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.03,_mol/L,23.282,ÁC,1016,hPa,Humid,37,0,0,19.929,14475,319653.72,43.75,60,#N/A
35331,1/10/2017 12:32,53.717,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.04,_mol/L,23.296,ÁC,1016,hPa,Humid,37,0,0,19.924,14472,319650.67,43.75,60,#N/A
35334,1/10/2017 12:32,53.734,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.9,_mol/L,23.311,ÁC,1016,hPa,Humid,37,0,0,19.926,14471,319650.18,43.75,60,#N/A
35339,1/10/2017 12:32,53.751,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.669,_mol/L,23.303,ÁC,1016,hPa,Humid,37,0,0,19.94,14458,319637.46,43.75,60,#N/A
35344,1/10/2017 12:32,53.768,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.18,_mol/L,23.3,ÁC,1016,hPa,Humid,37,0,0,19.916,14456,319656.08,43.75,60,#N/A
35349,1/10/2017 12:32,53.785,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.26,_mol/L,23.294,ÁC,1016,hPa,Humid,37,0,0,19.914,14443,319652.96,43.75,60,#N/A
35352,1/10/2017 12:32,53.801,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.742,_mol/L,23.301,ÁC,1016,hPa,Humid,37,0,0,19.937,14448,319641.37,43.75,60,#N/A
35357,1/10/2017 12:32,53.818,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.043,_mol/L,23.314,ÁC,1016,hPa,Humid,37,0,0,19.918,14473,319654.38,43.75,60,#N/A
35359,1/10/2017 12:32,53.834,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.657,_mol/L,23.299,ÁC,1016,hPa,Humid,37,0,0,19.942,14456,319649.72,43.75,60,#N/A
35363,1/10/2017 12:32,53.851,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.056,_mol/L,23.288,ÁC,1016,hPa,Humid,37,0,0,19.926,14484,319637.12,43.75,60,#N/A
35367,1/10/2017 12:32,53.868,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.954,_mol/L,23.288,ÁC,1016,hPa,Humid,37,0,0,19.931,14470,319652.92,43.75,60,#N/A
35372,1/10/2017 12:32,53.885,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.889,_mol/L,23.301,ÁC,1016,hPa,Humid,37,0,0,19.93,14456,319638.09,43.75,60,#N/A
35377,1/10/2017 12:32,53.902,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.174,_mol/L,23.307,ÁC,1016,hPa,Humid,37,0,0,19.914,14454,319640.56,43.75,60,#N/A
35379,1/10/2017 12:32,53.917,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.434,_mol/L,23.311,ÁC,1016,hPa,Humid,37,0,0,19.949,14455,319626.95,43.75,60,#N/A
35384,1/10/2017 12:32,53.934,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.756,_mol/L,23.302,ÁC,1016,hPa,Humid,37,0,0,19.936,14445,319640.61,43.75,60,#N/A
35387,1/10/2017 12:32,53.951,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.522,_mol/L,23.304,ÁC,1016,hPa,Humid,37,0,0,19.947,14441,319625.83,43.75,60,#N/A
35391,1/10/2017 12:32,53.968,JB2_Spot (PSt7-10),1/10/2017 9:36,default,227.037,_mol/L,23.306,ÁC,1016,hPa,Humid,37,0,0,19.921,14442,319623.98,43.75,60,#N/A
35397,1/10/2017 12:32,53.985,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.834,_mol/L,23.294,ÁC,1016,hPa,Humid,37,0,0,19.935,14440,319624.29,43.75,60,#N/A
35401,1/10/2017 12:32,54.001,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.991,_mol/L,23.31,ÁC,1016,hPa,Humid,37,0,0,19.922,14438,319633.15,43.75,60,#N/A
35405,1/10/2017 12:32,54.018,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.801,_mol/L,23.298,ÁC,1016,hPa,Humid,37,0,0,19.935,14441,319635.11,43.75,60,#N/A
35407,1/10/2017 12:32,54.034,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.572,_mol/L,23.314,ÁC,1016,hPa,Humid,37,0,0,19.941,14432,319625.08,43.75,60,#N/A
35411,1/10/2017 12:32,54.051,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.52,_mol/L,23.316,ÁC,1016,hPa,Humid,37,0,0,19.943,14433,319626.69,43.75,60,#N/A
35416,1/10/2017 12:32,54.068,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.593,_mol/L,23.305,ÁC,1016,hPa,Humid,37,0,0,19.943,14434,319615.58,43.75,60,#N/A
35421,1/10/2017 12:32,54.085,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.844,_mol/L,23.307,ÁC,1016,hPa,Humid,37,0,0,19.93,14434,319621.22,43.75,60,#N/A
35425,1/10/2017 12:32,54.102,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.37,_mol/L,23.311,ÁC,1016,hPa,Humid,37,0,0,19.952,14433,319617.71,43.75,60,#N/A
35426,1/10/2017 12:32,54.118,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.311,_mol/L,23.302,ÁC,1016,hPa,Humid,37,0,0,19.958,14425,319610.63,43.75,60,#N/A
35430,1/10/2017 12:32,54.134,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.333,_mol/L,23.307,ÁC,1016,hPa,Humid,37,0,0,19.955,14423,319609.38,43.75,60,#N/A
35435,1/10/2017 12:32,54.151,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.435,_mol/L,23.304,ÁC,1016,hPa,Humid,37,0,0,19.951,14419,319613.1,43.75,60,#N/A
35440,1/10/2017 12:32,54.168,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.656,_mol/L,23.293,ÁC,1016,hPa,Humid,37,0,0,19.944,14425,319612.31,43.75,60,#N/A
35445,1/10/2017 12:32,54.185,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.4,_mol/L,23.316,ÁC,1016,hPa,Humid,37,0,0,19.949,14416,319597.05,43.75,60,#N/A
35446,1/10/2017 12:32,54.201,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.434,_mol/L,23.308,ÁC,1016,hPa,Humid,37,0,0,19.95,14415,319622.15,43.75,60,#N/A
35450,1/10/2017 12:32,54.218,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.276,_mol/L,23.316,ÁC,1016,hPa,Humid,37,0,0,19.955,14412,319600.28,43.75,60,#N/A
35455,1/10/2017 12:32,54.234,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.677,_mol/L,23.308,ÁC,1016,hPa,Humid,37,0,0,19.938,14405,319604.93,43.75,60,#N/A
35461,1/10/2017 12:32,54.251,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.258,_mol/L,23.313,ÁC,1016,hPa,Humid,37,0,0,19.957,14410,319606.07,43.75,60,#N/A
35465,1/10/2017 12:32,54.268,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.114,_mol/L,23.304,ÁC,1016,hPa,Humid,37,0,0,19.967,14408,319607.7,43.75,60,#N/A
35467,1/10/2017 12:32,54.284,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.329,_mol/L,23.296,ÁC,1016,hPa,Humid,37,0,0,19.959,14407,319604.82,43.75,60,#N/A
35472,1/10/2017 12:32,54.301,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.52,_mol/L,23.298,ÁC,1016,hPa,Humid,37,0,0,19.949,14399,319612.48,43.75,60,#N/A
35476,1/10/2017 12:33,54.318,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.272,_mol/L,23.301,ÁC,1016,hPa,Humid,37,0,0,19.96,14400,319597.76,43.75,60,#N/A
35480,1/10/2017 12:33,54.335,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.155,_mol/L,23.301,ÁC,1016,hPa,Humid,37,0,0,19.966,14401,319600.16,43.75,60,#N/A
35485,1/10/2017 12:33,54.352,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.693,_mol/L,23.287,ÁC,1016,hPa,Humid,37,0,0,19.944,14395,319589.8,43.75,60,#N/A
35488,1/10/2017 12:33,54.367,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.064,_mol/L,23.32,ÁC,1016,hPa,Humid,37,0,0,19.964,14397,319586.07,43.75,60,#N/A
35491,1/10/2017 12:33,54.384,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.058,_mol/L,23.315,ÁC,1016,hPa,Humid,37,0,0,19.966,14388,319589.81,43.75,60,#N/A
35494,1/10/2017 12:33,54.401,JB2_Spot (PSt7-10),1/10/2017 9:36,default,225.946,_mol/L,23.298,ÁC,1016,hPa,Humid,37,0,0,19.977,14393,319595.54,43.75,60,#N/A
35499,1/10/2017 12:33,54.418,JB2_Spot (PSt7-10),1/10/2017 9:36,default,225.805,_mol/L,23.323,ÁC,1016,hPa,Humid,37,0,0,19.976,14385,319590.57,43.75,60,#N/A
35505,1/10/2017 12:33,54.435,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.597,_mol/L,23.326,ÁC,1016,hPa,Humid,37,0,0,19.936,14390,319603.6,43.75,60,#N/A
35509,1/10/2017 12:33,54.452,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.183,_mol/L,23.3,ÁC,1016,hPa,Humid,37,0,0,19.965,14385,319583.08,43.75,60,#N/A
35512,1/10/2017 12:33,54.468,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.612,_mol/L,23.296,ÁC,1016,hPa,Humid,37,0,0,19.945,14383,319593.9,43.75,60,#N/A
35514,1/10/2017 12:33,54.484,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.927,_mol/L,23.307,ÁC,1016,hPa,Humid,37,0,0,19.926,14385,319586.06,43.75,60,#N/A
35518,1/10/2017 12:33,54.501,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.234,_mol/L,23.319,ÁC,1016,hPa,Humid,37,0,0,19.956,14385,319585.54,43.75,60,#N/A
35523,1/10/2017 12:33,54.518,JB2_Spot (PSt7-10),1/10/2017 9:36,default,225.957,_mol/L,23.306,ÁC,1016,hPa,Humid,37,0,0,19.974,14383,319580.72,43.75,60,#N/A
35529,1/10/2017 12:33,54.535,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.088,_mol/L,23.32,ÁC,1016,hPa,Humid,37,0,0,19.963,14372,319568.89,43.75,60,#N/A
35530,1/10/2017 12:33,54.551,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.3,_mol/L,23.3,ÁC,1016,hPa,Humid,37,0,0,19.959,14379,319572.43,43.75,60,#N/A
35535,1/10/2017 12:33,54.568,JB2_Spot (PSt7-10),1/10/2017 9:36,default,225.853,_mol/L,23.316,ÁC,1016,hPa,Humid,37,0,0,19.976,14374,319562.18,43.75,60,#N/A
35538,1/10/2017 12:33,54.584,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.397,_mol/L,23.316,ÁC,1016,hPa,Humid,37,0,0,19.949,14377,319581.93,43.75,60,#N/A
35544,1/10/2017 12:33,54.601,JB2_Spot (PSt7-10),1/10/2017 9:36,default,225.915,_mol/L,23.321,ÁC,1016,hPa,Humid,37,0,0,19.971,14377,319570.88,43.75,60,#N/A
35549,1/10/2017 12:33,54.618,JB2_Spot (PSt7-10),1/10/2017 9:36,default,225.728,_mol/L,23.31,ÁC,1016,hPa,Humid,37,0,0,19.984,14374,319576.19,43.75,60,#N/A
