Date,Fragment.ID,Chamber.Channel,Position,Bin.ID,Run,Species,Genotype,Fragment.Number,Sample.Type,Temp.Cat,Start time,Stop Time,Light_Dark,Probe_Spot,Spot_test
20171004,OF4-8_20171004,8,8,1,8,OF,4,8,Sample,34,10:54,11:55,Dark,Probe,
20171004,OF2-8_20171004,10,10,1,8,OF,2,8,Sample,34,10:57,11:58,Dark,Probe,
20171004,BK2-9_20171004,4,4,1,9,BK,2,9,Blank,32,13:01,14:04,Light,Probe,
20171004,BK1-9_20171004,7,7,1,9,BK,1,9,Blank,32,13:03,14:05,Light,Probe,
20171004,BK2-9_20171004,4,4,1,9,BK,2,9,Blank,32,14:18,15:18,Dark,Probe,
20171004,BK1-9_20171004,7,7,1,9,BK,1,9,Blank,32,14:19,15:19,Dark,Probe,
20171004,OF1-9_20171004,1,1,1,9,OF,1,9,Sample,32,12:59,14:02,Light,Probe,
20171004,OF4-9_20171004,6,6,1,9,OF,4,9,Sample,32,13:04,14:05,Light,Probe,
20171004,OF2-9_20171004,8,8,1,9,OF,2,9,Sample,32,13:05,14:07,Light,Probe,
20171004,OF3-9_20171004,9,9,1,9,OF,3,9,Sample,32,13:05,14:07,Light,Probe,
20171004,OF1-9_20171004,1,1,1,9,OF,1,9,Sample,32,14:14,15:15,Dark,Probe,
20171004,OF4-9_20171004,6,6,1,9,OF,4,9,Sample,32,14:16,15:17,Dark,Probe,
20171004,OF2-9_20171004,8,8,1,9,OF,2,9,Sample,32,14:18,15:20,Dark,Probe,
20171004,OF3-9_20171004,9,9,1,9,OF,3,9,Sample,32,14:21,15:22,Dark,Probe,
20171004,BK2-10_20171004,10,10,1,10,BK,2,10,Blank,29,15:47,16:49,Light,Probe,
20171004,BK1-10_20171004,11,11,1,10,BK,1,10,Blank,29,15:47,16:49,Light,Probe,
20171004,BK2-10_20171004,10,10,1,10,BK,2,10,Blank,29,17:03,18:04,Dark,Probe,
20171004,OF3-10_20171004,1,1,1,10,OF,3,10,Sample,29,15:41,16:41,Light,Probe,
20171004,OF2-10_20171004,2,2,1,10,OF,2,10,Sample,29,15:40,16:41,Light,Probe,
20171004,OF1-10_20171004,3,3,1,10,OF,1,10,Sample,29,15:41,16:43,Light,Probe,
20171004,OF4-10_20171004,9,9,1,10,OF,4,10,Sample,29,15:44,16:45,Light,Probe,
20171004,OF3-10_20171004,1,1,1,10,OF,3,10,Sample,29,16:54,17:55,Dark,Probe,
20171004,OF2-10_20171004,2,2,1,10,OF,2,10,Sample,29,16:56,17:56,Dark,Probe,
20171004,OF1-10_20171004,3,3,1,10,OF,1,10,Sample,29,16:56,17:57,Dark,Probe,
20171004,OF4-10_20171004,9,9,1,10,OF,4,10,Sample,29,16:50,18:00,Dark,Probe,
20171020,BK1-11_20171020,5,5,1,11,BK,1,11,Blank,36,11:07,12:08,Light,Probe,
20171020,BK2-11_20171020,6,6,1,11,BK,2,11,Blank,36,11:11,12:11,Light,Probe,
20171020,BK1-11_20171020,5,5,1,11,BK,1,11,Blank,36,12:29,13:38,Dark,Probe,
20171020,BK2-11_20171020,6,6,1,11,BK,,11,Blank,36,12:30,13:40,Dark,Probe,
20171020,OF1-11_20171020,3,3,1,11,OF,1,11,Sample,36,11:10,12:11,Light,Probe,
20171020,OF4-11_20171020,4,4,1,11,OF,4,11,Sample,36,11:09,12:08,Light,Probe,
20171020,OF3-11_20171020,7,7,1,11,OF,3,11,Sample,36,11:12,12:15,Light,Probe,
20171020,OF2-11_20171020,8,8,1,11,OF,2,11,Sample,36,11:13,12:15,Light,Probe,
20171020,OF1-11_20171020,3,3,1,11,OF,1,11,Sample,36,12:28,13:34,Dark,Probe,
20171020,OF4-11_20171020,4,4,1,11,OF,4,11,Sample,36,12:29,13:35,Dark,Probe,
20171020,OF3-11_20171020,7,7,1,11,OF,3,11,Sample,36,12:32,13:41,Dark,Probe,
20171020,OF2-11_20171020,8,8,1,11,OF,2,11,Sample,36,12:34,13:43,Dark,Probe,
