Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Bin.ID,Run,Species,Genotype,Fragment.Number,Sample.Type,Temp.Cat,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Probe_Spot,Notes,QC
20171201,OF1-7_3_20171201,OF1-7_3,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,62,Probe,,
20171201,OF1-7_4_20171201,OF1-7_4,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,103,Probe,,
20171201,OF1-7_5_20171201,OF1-7_5,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,163,Probe,,
20171201,OF1-7_6_20171201,OF1-7_6,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,288,Probe,,
20171201,OF1-7_7_20171201,OF1-7_7,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,453,Probe,,
20171201,OF1-7_8_20171201,OF1-7_8,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,610,Probe,,
20171201,OF1-7_9_20171201,OF1-7_9,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,747,Probe,,
20171201,SS3-7_1_20171201,SS3-7_1,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,0,Probe,,
20171201,SS3-7_2_20171201,SS3-7_2,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,30,Probe,,
20171201,SS3-7_3_20171201,SS3-7_3,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,62,Probe,,
20171201,SS3-7_4_20171201,SS3-7_4,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,103,Probe,,
20171201,SS3-7_5_20171201,SS3-7_5,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,163,Probe,,
20171201,SS3-7_6_20171201,SS3-7_6,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,288,Probe,,
20171201,SS3-7_7_20171201,SS3-7_7,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,453,Probe,,
20171201,SS3-7_8_20171201,SS3-7_8,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,610,Probe,,
20171201,SS3-7_9_20171201,SS3-7_9,NA,NA,NA,PI,SS,NA,SS3,Sample,28,0.5971,12.9,,,Light,747,Probe,,
20171201,SS4-2_1_20171201,SS4-2_1,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,0,Probe,,
20171201,SS4-2_2_20171201,SS4-2_2,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,30,Probe,,
20171201,SS4-2_3_20171201,SS4-2_3,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,62,Probe,,
20171201,SS4-2_4_20171201,SS4-2_4,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,103,Probe,,
20171201,SS4-2_5_20171201,SS4-2_5,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,163,Probe,,
20171201,SS4-2_6_20171201,SS4-2_6,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,288,Probe,,
20171201,SS4-2_7_20171201,SS4-2_7,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,453,Probe,,
20171201,SS4-2_8_20171201,SS4-2_8,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,610,Probe,,
20171201,SS4-2_9_20171201,SS4-2_9,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,747,Probe,,
20171201,SS4-2_10_20171201,SS4-2_10,NA,NA,NA,PI,SS,NA,SS4,Sample,28,0.59856,14.3,,,Light,1017,Probe,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
